ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Regular price,Sale price,Categories,Tags,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
,simple,LENOVO-21,Lenovo Legion Phone Duel 2,1,0,visible,"Điện thoại Gaming, Sạc kép, Tản nhiệt.",Thiết kế dành riêng cho game thủ di động.,1,5,16000000,15000000,"Khác, Gaming","Gaming, Legion",http://localhost/bhshop/wp-content/uploads/2025/11/legion_duel2.jpg,Loại,Gaming,1,1,Tản nhiệt,Dual Fan,1,1
,simple,ZTETRONS-22,ZTE Red Magic 8S Pro Đen,1,0,visible,"Màn hình không khuyết điểm, Quạt tản nhiệt tích hợp.",Hiệu năng tuyệt đỉnh cho các tựa game nặng.,1,10,17500000,,"Khác, Gaming","Gaming, Red Magic",http://localhost/bhshop/wp-content/uploads/2025/11/redmagic8s.jpg,RAM,16GB,1,1,Pin,6000mAh,1,1
,simple,ASROG7-23,ASUS ROG Phone 7 Ultimate,1,0,visible,"AirTrigger, Cổng AeroActive Cooler, Pin 6000mAh.",Ông vua hiệu năng trong làng điện thoại gaming.,1,3,29000000,,"ASUS, Gaming","ROG, Gaming",http://localhost/bhshop/wp-content/uploads/2025/11/rog7_ultimate.jpg,Chipset,Snap 8 Gen 2,1,1,Tần số quét,165Hz,1,1
,simple,VIVOX100-24,Vivo X100 Pro Xanh,1,1,visible,"Camera Zeiss, Chip Dimensity 9300.","Chụp ảnh đỉnh cao, hiệu năng hàng đầu.",1,18,25500000,25000000,"Khác, Cao cấp","Vivo, Zeiss",http://localhost/bhshop/wp-content/uploads/2025/11/vivo_x100p.jpg,Ống kính,Zeiss,1,1,Chipset,Dimensity 9300,1,1
,simple,VIVOY36-25,Vivo Y36 Vàng,1,0,visible,"Pin 5000mAh, Sạc nhanh 44W.","Thiết kế đẹp, pin bền.",1,55,6500000,,"Khác, Giá rẻ","Vivo, Y-series",http://localhost/bhshop/wp-content/uploads/2025/11/vivo_y36.jpg,Sạc nhanh,44W,1,1,Pin,5000mAh,1,1
,simple,OPOFINDN-26,OPPO Find N3 Gập,1,0,visible,"Màn hình gập, Camera Hasselblad.","Điện thoại màn hình gập cao cấp, tối ưu công việc.",1,5,40000000,,"OPPO, Màn hình gập","Gập, Find",http://localhost/bhshop/wp-content/uploads/2025/11/findn3_vang.jpg,Màn hình,Gập,1,1,Camera,Hasselblad,1,1
,simple,OPORENO10-27,OPPO Reno10 5G Xám,1,0,visible,"Camera Chân dung, Thiết kế mỏng nhẹ.",Phù hợp cho giới trẻ thích chụp ảnh.,1,45,8000000,7500000,"OPPO, Tầm trung","Reno, Chân dung",http://localhost/bhshop/wp-content/uploads/2025/11/reno10_xam.jpg,RAM,8GB,1,1,Sạc nhanh,67W,1,1
,simple,IP13-28,iPhone 13 128GB Xanh,1,0,visible,"Chip A15 Bionic, Camera kép.",Lựa chọn tối ưu giữa hiệu năng và giá cả.,1,30,16000000,15500000,"Apple, Cao cấp","iPhone, A15",http://localhost/bhshop/wp-content/uploads/2025/11/ip13_xanh.jpg,Chipset,A15 Bionic,1,1,Dung lượng,128GB,1,1
,simple,IP12-29,iPhone 12 64GB Trắng,1,0,visible,"Chip A14 Bionic, Hỗ trợ 5G.","iPhone cũ hơn, giá mềm hơn.",1,40,12000000,,"Apple, Phổ thông","iPhone, 5G",http://localhost/bhshop/wp-content/uploads/2025/11/ip12_trang.jpg,Chipset,A14 Bionic,1,1,Dung lượng,64GB,1,1
,simple,SSGZFLP-30,Samsung Galaxy Z Flip5 Kem,1,1,visible,"Màn hình phụ lớn, Gập linh hoạt.",Thiết kế thời trang và tiện lợi.,1,10,25000000,24000000,"Samsung, Màn hình gập","Gập, Z Flip",http://localhost/bhshop/wp-content/uploads/2025/11/zflip5_kem.jpg,Chipset,Snap 8 Gen 2,1,1,Màu sắc,Kem,1,1
,simple,SSGZFDP-31,Samsung Galaxy Z Fold5 Đen,1,0,visible,"Màn hình lớn đa nhiệm, Đỉnh cao công nghệ gập.",Dòng điện thoại cao cấp dành cho công việc.,1,8,36000000,35000000,"Samsung, Màn hình gập","Gập, Z Fold",http://localhost/bhshop/wp-content/uploads/2025/11/zfold5_den.jpg,Màn hình,Lớn (Gập),1,1,RAM,12GB,1,1
,simple,SSGA05-32,Samsung Galaxy A05 Đen,1,0,visible,"Giá siêu rẻ, Pin lớn 5000mAh.","Điện thoại cơ bản, phù hợp người lớn tuổi hoặc học sinh.",1,100,3000000,2800000,"Samsung, Giá rẻ","Giá rẻ, Pin trâu",http://localhost/bhshop/wp-content/uploads/2025/11/a05_den.jpg,Pin,5000mAh,1,1,RAM,4GB,1,1
,simple,XMI13T-33,Xiaomi 13T Pro Xanh,1,0,visible,"Camera Leica, Chip Dimensity 9200+.","Hiệu năng cực mạnh, sạc siêu nhanh 120W.",1,15,17000000,16500000,"Xiaomi, Cao cấp","Leica, Sạc nhanh",http://localhost/bhshop/wp-content/uploads/2025/11/mi13tp_xanh.jpg,Sạc nhanh,120W,1,1,Chipset,D9200+,1,1
,simple,XMI13T-34,Xiaomi 13T 256GB Đen,1,0,visible,"Camera Leica, Màn hình 144Hz.","Hiệu năng cao, trải nghiệm giải trí tuyệt vời.",1,25,13000000,12500000,"Xiaomi, Cao cấp","Leica, 144Hz",http://localhost/bhshop/wp-content/uploads/2025/11/mi13t_den.jpg,Màn hình,144Hz,1,1,RAM,8GB,1,1
,simple,XMIREDN-35,Xiaomi Redmi Note 13 Pro 5G Trắng,1,0,visible,"Camera 200MP, Màn hình AMOLED 120Hz.","Camera độ phân giải cao, giá phải chăng.",1,50,7500000,,"Xiaomi, Tầm trung","Redmi, 200MP",http://localhost/bhshop/wp-content/uploads/2025/11/rn13p_trang.jpg,Camera,200MP,1,1,Pin,5100mAh,1,1
,simple,XMIREDN-36,Xiaomi Redmi Note 13 Pro 5G Đen,1,0,visible,"Camera 200MP, Màn hình AMOLED 120Hz.","Camera độ phân giải cao, giá phải chăng.",1,50,7500000,,"Xiaomi, Tầm trung","Redmi, 200MP",http://localhost/bhshop/wp-content/uploads/2025/11/rn13p_den.jpg,Camera,200MP,1,1,Pin,5100mAh,1,1
,simple,HWA P60-37,Huawei P60 Pro Xanh,1,0,visible,"Camera XMAGE, Thiết kế cao cấp.","Điện thoại chụp ảnh đẹp, thiếu dịch vụ Google (GMS).",1,5,22000000,,"Khác, Cao cấp","Huawei, XMAGE",http://localhost/bhshop/wp-content/uploads/2025/11/p60p_xanh.jpg,Camera,XMAGE,1,1,RAM,8GB,1,1
,simple,HWA MATE-38,Huawei Mate 50 Đen,1,0,visible,"Thiết kế đối xứng, Hiệu năng mạnh mẽ.","Màn hình sắc nét, camera tốt.",1,7,18000000,17000000,"Khác, Cao cấp","Huawei, Mate",http://localhost/bhshop/wp-content/uploads/2025/11/mate50_den.jpg,Thiết kế,Đối xứng,1,1,Chipset,Snapdragon,1,1
,simple,TECSPARK-39,Tecno Spark 20 Xanh,1,0,visible,"Giá cực rẻ, Màn hình lớn.",Phù hợp cho nhu cầu cơ bản.,1,80,3500000,,"Khác, Giá rẻ","Tecno, Phổ thông",http://localhost/bhshop/wp-content/uploads/2025/11/spark20_xanh.jpg,Pin,5000mAh,1,1,Màn hình,Lớn,1,1
,simple,INFNOTE-40,Infinix Note 30 Pro Đen,1,0,visible,"Sạc không dây, Sạc nhanh 68W.","Cấu hình tốt trong tầm giá, nhiều công nghệ.",1,45,5500000,,"Khác, Tầm trung","Infinix, Sạc nhanh",http://localhost/bhshop/wp-content/uploads/2025/11/note30p_den.jpg,Sạc nhanh,68W,1,1,Pin,5000mAh,1,1
,simple,IP15PM-41,iPhone 15 Pro Max 256GB Titan Trắng,1,0,visible,"Chip A17 Bionic, Camera 48MP, Khung Titan.",Điện thoại thông minh cao cấp với hiệu năng và camera hàng đầu.,1,15,32000000,,"Apple, Flagship","iPhone, Titan, 5G",http://localhost/bhshop/wp-content/uploads/2025/11/ip15pm_trang.jpg,Chipset,A17 Bionic,1,1,Bộ nhớ,256GB,1,1
,simple,SSGS24-42,Samsung Galaxy S24 Xanh,1,0,visible,"Thiết kế nhỏ gọn, Màn hình Dynamic AMOLED.",Điện thoại Flagship nhỏ gọn.,1,20,22000000,21500000,"Samsung, Flagship","Galaxy, Nhỏ gọn, AI",http://localhost/bhshop/wp-content/uploads/2025/11/s24_xanh.jpg,Kích thước,Nhỏ gọn,1,1,Màu sắc,Xanh,1,1
,simple,SSGA73-43,Samsung Galaxy A73 5G Trắng,1,0,visible,"Camera 108MP, Chip Snapdragon 778G.","Điện thoại tầm trung, chụp ảnh sắc nét.",1,25,10000000,9500000,"Samsung, Tầm trung","Galaxy A, 108MP",http://localhost/bhshop/wp-content/uploads/2025/11/a73_trang.jpg,Camera,108MP,1,1,Chipset,Snap 778G,1,1
,simple,XMI12T-44,Xiaomi 12T Pro Đen,1,0,visible,"Camera 200MP, Sạc 120W.","Hiệu năng ổn định, sạc siêu nhanh.",1,30,14000000,,"Xiaomi, Cao cấp","200MP, Sạc nhanh",http://localhost/bhshop/wp-content/uploads/2025/11/mi12tp_den.jpg,Camera,200MP,1,1,Sạc nhanh,120W,1,1
,simple,OPPORENO8-45,OPPO Reno8 T 5G Đen,1,0,visible,"Thiết kế da cam, Camera 108MP.",Điện thoại có phong cách độc đáo.,1,35,7500000,7000000,"OPPO, Tầm trung","Reno, 108MP",http://localhost/bhshop/wp-content/uploads/2025/11/reno8t_den.jpg,Camera,108MP,1,1,Thiết kế,Da cam,1,1
,simple,OPPOA98-46,OPPO A98 5G Xanh,1,0,visible,"Pin 5000mAh, Sạc nhanh 67W.","Điện thoại pin khỏe, sạc nhanh.",1,40,6500000,,"OPPO, Tầm trung","Pin trâu, 5G",http://localhost/bhshop/wp-content/uploads/2025/11/opa98_xanh.jpg,Pin,5000mAh,1,1,Sạc nhanh,67W,1,1
,simple,IP11-47,iPhone 11 64GB Trắng,1,0,visible,"Chip A13 Bionic, Camera kép.","Lựa chọn phổ thông, vẫn còn mạnh mẽ.",1,50,9000000,,"Apple, Phổ thông","iPhone, A13",http://localhost/bhshop/wp-content/uploads/2025/11/ip11_trang.jpg,Chipset,A13 Bionic,1,1,Dung lượng,64GB,1,1
,simple,GGPIXEL7-48,Google Pixel 7 128GB Trắng,1,0,visible,"Chip Tensor G2, Camera ấn tượng.","Điện thoại AI của Google, chụp ảnh đẹp.",1,15,14000000,13500000,"Google, Cao cấp","Pixel, Google AI",http://localhost/bhshop/wp-content/uploads/2025/11/pixel7_trang.jpg,Chipset,Tensor G2,1,1,RAM,8GB,1,1
,simple,GGPIXEL7-49,Google Pixel 7a 128GB Xám,1,0,visible,"Giá phải chăng, Tính năng AI đầy đủ.","Phiên bản rút gọn của Pixel, tối ưu giá thành.",1,25,11000000,,"Google, Tầm trung","Pixel, AI",http://localhost/bhshop/wp-content/uploads/2025/11/pixel7a_xam.jpg,Chipset,Tensor G2,1,1,Màn hình,90Hz,1,1
,simple,IP15PM-50,iPhone 15 Pro Max 1TB Titan Xanh,1,0,visible,"Chip A17 Bionic, Camera 48MP, Khung Titan.",Phiên bản dung lượng lớn nhất.,1,5,45000000,,"Apple, Flagship","iPhone, Titan, 1TB",http://localhost/bhshop/wp-content/uploads/2025/11/ip15pm_xanh.jpg,Chipset,A17 Bionic,1,1,Bộ nhớ,1TB,1,1
