ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
91,simple,IPSE-09,,"iPhone SE (2025) 128GB Đỏ",1,0,visible,"Thiết kế nhỏ gọn, Chip A15 Bionic mạnh mẽ.","Chiếc iPhone giá phải chăng, hiệu năng cao.",,,taxable,,1,40,,0,0,,,,,1,,,14000000,"Apple, Giá tốt","iPhone, Nhỏ gọn",,http://localhost/9shop/wp-content/uploads/2025/11/iPhone-SE-2025-128GB-Do.avif,,,,,,,,,0,,Chipset,"A15 Bionic",1,1,"Dung lượng",128GB,1,1
92,simple,VISMART-10,,"Vinsmart Live 5",1,0,visible,"Màn hình AMOLED, Pin lớn 5000mAh.","Điện thoại thương hiệu Việt, cấu hình tốt trong tầm giá.",,,taxable,,1,50,,0,0,,,,,1,,3200000,3500000,"Giá rẻ, Khác","Pin trâu, Vsmart",,http://localhost/9shop/wp-content/uploads/2025/11/Vinsmart-Live-5.jpg,,,,,,,,,0,,Pin,5000mAh,1,1,RAM,6GB,1,1
93,simple,IP14P-11,,"iPhone 14 Pro 128GB Vàng",1,0,visible,"Dynamic Island, Chip A16, Camera Pro 48MP.","Hiệu năng vượt trội và tính năng đột phá.",,,taxable,,1,20,,0,0,,,,,1,,24500000,25000000,"Apple, Cao cấp","Dynamic Island, iPhone",,http://localhost/9shop/wp-content/uploads/2025/11/iPhone-14-Pro-128GB-Vang.avif,,,,,,,,,0,,"Dung lượng",128GB,1,1,"Màu sắc",Vàng,1,1
94,simple,IP14P-12,,"iPhone 14 Pro 256GB Tím",1,0,visible,"Dynamic Island, Chip A16, Camera Pro 48MP.","Hiệu năng vượt trội và tính năng đột phá.",,,taxable,,1,15,,0,0,,,,,1,,,27500000,"Apple, Cao cấp","Dynamic Island, iPhone",,http://localhost/9shop/wp-content/uploads/2025/11/iPhone-14-Pro-256GB-Tim.avif,,,,,,,,,0,,"Dung lượng",128GB,1,1,"Màu sắc",Tím,1,1
95,simple,SSGS23F-13,,"Samsung Galaxy S23 FE Xanh Mint",1,1,visible,"Thiết kế Fan Edition, Màn hình Dynamic AMOLED 2X.","Hiệu năng ổn định, camera chất lượng cao.",,,taxable,,1,35,,0,0,,,,,1,,14500000,15000000,Samsung,"AMOLED, FE",,http://localhost/9shop/wp-content/uploads/2025/11/Samsung-Galaxy-S23-FE-Xanh-Mint.webp,,,,,,,,,0,,RAM,8GB,1,1,Pin,4500mAh,1,1
96,simple,SSGA55-14,,"Samsung Galaxy A55 5G Đen",1,0,visible,"Camera OIS, Thiết kế kim loại cao cấp.","Điện thoại tầm trung mạnh mẽ, chụp ảnh sắc nét.",,,taxable,,1,45,,0,0,,,,,1,,9000000,9500000,"Samsung, Tầm trung","5G, Galaxy A",,http://localhost/9shop/wp-content/uploads/2025/11/Samsung-Galaxy-A55-5G-Den.avif,,,,,,,,,0,,Chipset,"Exynos 1480",1,1,"Bộ nhớ",128GB,1,1
97,simple,SSGA35-15,,"Samsung Galaxy A35 5G Trắng",1,0,visible,"Màn hình Super AMOLED 120Hz, kháng nước IP67.","Trải nghiệm mượt mà, bền bỉ.",,,taxable,,1,50,,0,0,,,,,1,,,8000000,"Samsung, Tầm trung","5G, Galaxy A",,http://localhost/9shop/wp-content/uploads/2025/11/Samsung-Galaxy-A35-5G-Trang.jpg,,,,,,,,,0,,Camera,50MP,1,1,Pin,5000mAh,1,1
98,simple,GGPIXEL9-16,,"Google Pixel 9 128GB Đen",1,1,visible,"Tensor G4, Tính năng AI độc quyền, Camera kép.","Trải nghiệm Android thuần khiết với các tính năng thông minh.",,,taxable,,1,15,,0,0,,,,,1,,,22000000,"Cao cấp, Google","Google AI, Pixel",,http://localhost/9shop/wp-content/uploads/2025/11/Google-Pixel-9-128GB-Den.avif,,,,,,,,,0,,Chipset,"Tensor G4",1,1,"Màu sắc",Đen,1,1
99,simple,GGPIXEL9-17,,"Google Pixel 9 256GB Xanh",1,0,visible,"Tensor G4, Tính năng AI độc quyền, Camera kép.","Trải nghiệm Android thuần khiết với các tính năng thông minh.",,,taxable,,1,10,,0,0,,,,,1,,,24000000,"Cao cấp, Google","Google AI, Pixel",,http://localhost/9shop/wp-content/uploads/2025/11/Google-Pixel-9-256GB-Xanh.webp,,,,,,,,,0,,Chipset,"Tensor G4",1,1,"Màu sắc",Xanh,1,1
100,simple,SONY1V-18,,"Sony Xperia 1 V Đen",1,0,visible,"Màn hình 4K HDR, Chụp ảnh chuyên nghiệp.","Dòng điện thoại dành cho người đam mê nhiếp ảnh và video.",,,taxable,,1,7,,0,0,,,,,1,,,28000000,"Cao cấp, Sony","4K, Xperia",,http://localhost/9shop/wp-content/uploads/2025/11/Sony-Xperia-1-V-Den.avif,,,,,,,,,0,,"Màn hình",4K,1,1,RAM,12GB,1,1
101,simple,SONY5V-19,,"Sony Xperia 5 V Bạc",1,0,visible,"Thiết kế nhỏ gọn, Chip Snapdragon mạnh mẽ.","Hiệu năng cao trong một thân hình dễ cầm nắm.",,,taxable,,1,12,,0,0,,,,,1,,18500000,19000000,"Cao cấp, Sony","Nhỏ gọn, Xperia",,http://localhost/9shop/wp-content/uploads/2025/11/Sony-Xperia-5-V-Bac.webp,,,,,,,,,0,,Chipset,"Snap 8 Gen 2",1,1,Pin,5000mAh,1,1
102,simple,MOTOG54-20,,"Motorola Moto G54 5G Xanh",1,0,visible,"Pin 6000mAh, Màn hình 120Hz.","Điện thoại pin trâu, giải trí mượt mà.",,,taxable,,1,60,,0,0,,,,,1,,,6000000,"Khác, Tầm trung","5G, Pin trâu",,http://localhost/9shop/wp-content/uploads/2025/11/Motorola-Moto-G54-5G-Xanh.avif,,,,,,,,,0,,Pin,6000mAh,1,1,RAM,8GB,1,1
103,simple,LENOVO-21,,"Lenovo Legion Phone Duel 2",1,0,visible,"Điện thoại Gaming, Sạc kép, Tản nhiệt.","Thiết kế dành riêng cho game thủ di động.",,,taxable,,1,5,,0,0,,,,,1,,15000000,16000000,"Gaming, Khác","Gaming, Legion",,http://localhost/9shop/wp-content/uploads/2025/11/Lenovo-Legion-Phone-Duel-2.jpg,,,,,,,,,0,,Loại,Gaming,1,1,"Tản nhiệt","Dual Fan",1,1
104,simple,ZTETRONS-22,,"ZTE Red Magic 8S Pro Đen",1,0,visible,"Màn hình không khuyết điểm, Quạt tản nhiệt tích hợp.","Hiệu năng tuyệt đỉnh cho các tựa game nặng.",,,taxable,,1,10,,0,0,,,,,1,,,17500000,"Gaming, Khác","Gaming, Red Magic",,http://localhost/9shop/wp-content/uploads/2025/11/ZTE-Red-Magic-8S-Pro-Den.png,,,,,,,,,0,,RAM,16GB,1,1,Pin,6000mAh,1,1
105,simple,ASROG7-23,,"ASUS ROG Phone 7 Ultimate",1,0,visible,"AirTrigger, Cổng AeroActive Cooler, Pin 6000mAh.","Ông vua hiệu năng trong làng điện thoại gaming.",,,taxable,,1,3,,0,0,,,,,1,,,29000000,"ASUS, Gaming","Gaming, ROG",,http://localhost/9shop/wp-content/uploads/2025/11/ASUS-ROG-Phone-7-Ultimate.webp,,,,,,,,,0,,Chipset,"Snap 8 Gen 2",1,1,"Tần số quét",165Hz,1,1
106,simple,VIVOX100-24,,"Vivo X100 Pro Xanh",1,1,visible,"Camera Zeiss, Chip Dimensity 9300.","Chụp ảnh đỉnh cao, hiệu năng hàng đầu.",,,taxable,,1,18,,0,0,,,,,1,,25000000,25500000,"Cao cấp, Khác","Vivo, Zeiss",,http://localhost/9shop/wp-content/uploads/2025/11/Vivo-X100-Pro-Xanh.png,,,,,,,,,0,,"Ống kính",Zeiss,1,1,Chipset,"Dimensity 9300",1,1
107,simple,VIVOY36-25,,"Vivo Y36 Vàng",1,0,visible,"Pin 5000mAh, Sạc nhanh 44W.","Thiết kế đẹp, pin bền.",,,taxable,,1,55,,0,0,,,,,1,,,6500000,"Giá rẻ, Khác","Vivo, Y-series",,http://localhost/9shop/wp-content/uploads/2025/11/Vivo-Y36-Vang.webp,,,,,,,,,0,,"Sạc nhanh",44W,1,1,Pin,5000mAh,1,1
108,simple,OPOFINDN-26,,"OPPO Find N3 Gập",1,0,visible,"Màn hình gập, Camera Hasselblad.","Điện thoại màn hình gập cao cấp, tối ưu công việc.",,,taxable,,1,5,,0,0,,,,,1,,,40000000,"Màn hình gập, OPPO","Find, Gập",,http://localhost/9shop/wp-content/uploads/2025/11/OPPO-Find-N3-Gap.webp,,,,,,,,,0,,"Màn hình",Gập,1,1,Camera,Hasselblad,1,1
109,simple,OPORENO10-27,,"OPPO Reno10 5G Xám",1,0,visible,"Camera Chân dung, Thiết kế mỏng nhẹ.","Phù hợp cho giới trẻ thích chụp ảnh.",,,taxable,,1,45,,0,0,,,,,1,,7500000,8000000,"OPPO, Tầm trung","Chân dung, Reno",,http://localhost/9shop/wp-content/uploads/2025/11/OPPO-Reno10-5G-Xam.avif,,,,,,,,,0,,RAM,8GB,1,1,"Sạc nhanh",67W,1,1
110,simple,IP13-28,,"iPhone 13 128GB Xanh",1,0,visible,"Chip A15 Bionic, Camera kép.","Lựa chọn tối ưu giữa hiệu năng và giá cả.",,,taxable,,1,30,,0,0,,,,,1,,15500000,16000000,"Apple, Cao cấp","A15, iPhone",,http://localhost/9shop/wp-content/uploads/2025/11/iPhone-13-128GB-Xanh.webp,,,,,,,,,0,,Chipset,"A15 Bionic",1,1,"Dung lượng",128GB,1,1
111,simple,IP12-29,,"iPhone 12 64GB Trắng",1,0,visible,"Chip A14 Bionic, Hỗ trợ 5G.","iPhone cũ hơn, giá mềm hơn.",,,taxable,,1,40,,0,0,,,,,1,,,12000000,"Apple, Phổ thông","5G, iPhone",,http://localhost/9shop/wp-content/uploads/2025/11/iPhone-12-64GB-Trang.avif,,,,,,,,,0,,Chipset,"A14 Bionic",1,1,"Dung lượng",64GB,1,1
112,simple,SSGZFLP-30,,"Samsung Galaxy Z Flip5 Kem",1,1,visible,"Màn hình phụ lớn, Gập linh hoạt.","Thiết kế thời trang và tiện lợi.",,,taxable,,1,10,,0,0,,,,,1,,24000000,25000000,"Màn hình gập, Samsung","Gập, Z Flip",,http://localhost/9shop/wp-content/uploads/2025/11/Samsung-Galaxy-Z-Flip5-Kem.webp,,,,,,,,,0,,Chipset,"Snap 8 Gen 2",1,1,"Màu sắc",Kem,1,1
113,simple,SSGZFDP-31,,"Samsung Galaxy Z Fold5 Đen",1,0,visible,"Màn hình lớn đa nhiệm, Đỉnh cao công nghệ gập.","Dòng điện thoại cao cấp dành cho công việc.",,,taxable,,1,8,,0,0,,,,,1,,35000000,36000000,"Màn hình gập, Samsung","Gập, Z Fold",,http://localhost/9shop/wp-content/uploads/2025/11/Samsung-Galaxy-Z-Fold5-Den.avif,,,,,,,,,0,,"Màn hình","Lớn (Gập)",1,1,RAM,12GB,1,1
114,simple,SSGA05-32,,"Samsung Galaxy A05 Đen",1,0,visible,"Giá siêu rẻ, Pin lớn 5000mAh.","Điện thoại cơ bản, phù hợp người lớn tuổi hoặc học sinh.",,,taxable,,1,100,,0,0,,,,,1,,2800000,3000000,"Giá rẻ, Samsung","Giá rẻ, Pin trâu",,http://localhost/9shop/wp-content/uploads/2025/11/Samsung-Galaxy-A05-Den.avif,,,,,,,,,0,,Pin,5000mAh,1,1,RAM,4GB,1,1
115,simple,XMI13T-33,,"Xiaomi 13T Pro Xanh",1,0,visible,"Camera Leica, Chip Dimensity 9200+.","Hiệu năng cực mạnh, sạc siêu nhanh 120W.",,,taxable,,1,15,,0,0,,,,,1,,16500000,17000000,"Cao cấp, Xiaomi","Leica, Sạc nhanh",,http://localhost/9shop/wp-content/uploads/2025/11/Xiaomi-13T-Pro-Xanh.avif,,,,,,,,,0,,"Sạc nhanh",120W,1,1,Chipset,D9200+,1,1
116,simple,XMI13T-34,,"Xiaomi 13T 256GB Đen",1,0,visible,"Camera Leica, Màn hình 144Hz.","Hiệu năng cao, trải nghiệm giải trí tuyệt vời.",,,taxable,,1,25,,0,0,,,,,1,,12500000,13000000,"Cao cấp, Xiaomi","144Hz, Leica",,http://localhost/9shop/wp-content/uploads/2025/11/Xiaomi-13T-256GB-Den.avif,,,,,,,,,0,,"Màn hình",144Hz,1,1,RAM,8GB,1,1
117,simple,XMIREDN-35,,"Xiaomi Redmi Note 13 Pro 5G Trắng",1,0,visible,"Camera 200MP, Màn hình AMOLED 120Hz.","Camera độ phân giải cao, giá phải chăng.",,,taxable,,1,50,,0,0,,,,,1,,,7500000,"Tầm trung, Xiaomi","200MP, Redmi",,http://localhost/9shop/wp-content/uploads/2025/11/Xiaomi-Redmi-Note-13-Pro-5G-Trang.avif,,,,,,,,,0,,Camera,200MP,1,1,Pin,5100mAh,1,1
118,simple,XMIREDN-36,,"Xiaomi Redmi Note 13 Pro 5G Đen",1,0,visible,"Camera 200MP, Màn hình AMOLED 120Hz.","Camera độ phân giải cao, giá phải chăng.",,,taxable,,1,50,,0,0,,,,,1,,,7500000,"Tầm trung, Xiaomi","200MP, Redmi",,http://localhost/9shop/wp-content/uploads/2025/11/Xiaomi-Redmi-Note-13-Pro-5G-Den.avif,,,,,,,,,0,,Camera,200MP,1,1,Pin,5100mAh,1,1
119,simple,"HWA P60-37",,"Huawei P60 Pro Xanh",1,0,visible,"Camera XMAGE, Thiết kế cao cấp.","Điện thoại chụp ảnh đẹp, thiếu dịch vụ Google (GMS).",,,taxable,,1,5,,0,0,,,,,1,,,22000000,"Cao cấp, Khác","Huawei, XMAGE",,http://localhost/9shop/wp-content/uploads/2025/11/Huawei-P60-Pro-Xanh.webp,,,,,,,,,0,,Camera,XMAGE,1,1,RAM,8GB,1,1
120,simple,"HWA MATE-38",,"Huawei Mate 50 Đen",1,0,visible,"Thiết kế đối xứng, Hiệu năng mạnh mẽ.","Màn hình sắc nét, camera tốt.",,,taxable,,1,7,,0,0,,,,,1,,17000000,18000000,"Cao cấp, Khác","Huawei, Mate",,http://localhost/9shop/wp-content/uploads/2025/11/Huawei-Mate-50-Den.png,,,,,,,,,0,,"Thiết kế","Đối xứng",1,1,Chipset,Snapdragon,1,1
121,simple,TECSPARK-39,,"Tecno Spark 20 Xanh",1,0,visible,"Giá cực rẻ, Màn hình lớn.","Phù hợp cho nhu cầu cơ bản.",,,taxable,,1,80,,0,0,,,,,1,,,3500000,"Giá rẻ, Khác","Phổ thông, Tecno",,http://localhost/9shop/wp-content/uploads/2025/11/Tecno-Spark-20-Xanh.webp,,,,,,,,,0,,Pin,5000mAh,1,1,"Màn hình",Lớn,1,1
122,simple,INFNOTE-40,,"Infinix Note 30 Pro Đen",1,0,visible,"Sạc không dây, Sạc nhanh 68W.","Cấu hình tốt trong tầm giá, nhiều công nghệ.",,,taxable,,1,45,,0,0,,,,,1,,,5500000,"Khác, Tầm trung","Infinix, Sạc nhanh",,http://localhost/9shop/wp-content/uploads/2025/11/Infinix-Note-30-Pro-Den.png,,,,,,,,,0,,"Sạc nhanh",68W,1,1,Pin,5000mAh,1,1
123,simple,IP15PM-41,,"iPhone 15 Pro Max 256GB Titan Trắng",1,0,visible,"Chip A17 Bionic, Camera 48MP, Khung Titan.","Điện thoại thông minh cao cấp với hiệu năng và camera hàng đầu.",,,taxable,,1,15,,0,0,,,,,1,,,32000000,"Apple, Flagship","5G, iPhone, Titan",,http://localhost/9shop/wp-content/uploads/2025/11/iPhone-15-Pro-Max-256GB-Titan-Trang.webp,,,,,,,,,0,,Chipset,"A17 Bionic",1,1,"Bộ nhớ",256GB,1,1
124,simple,SSGS24-42,,"Samsung Galaxy S24 Xanh",1,0,visible,"Thiết kế nhỏ gọn, Màn hình Dynamic AMOLED.","Điện thoại Flagship nhỏ gọn.",,,taxable,,1,20,,0,0,,,,,1,,21500000,22000000,"Flagship, Samsung","AI, Galaxy, Nhỏ gọn",,http://localhost/9shop/wp-content/uploads/2025/11/Samsung-Galaxy-S24-Xanh.webp,,,,,,,,,0,,"Kích thước","Nhỏ gọn",1,1,"Màu sắc",Xanh,1,1
125,simple,SSGA73-43,,"Samsung Galaxy A73 5G Trắng",1,0,visible,"Camera 108MP, Chip Snapdragon 778G.","Điện thoại tầm trung, chụp ảnh sắc nét.",,,taxable,,1,25,,0,0,,,,,1,,9500000,10000000,"Samsung, Tầm trung","108MP, Galaxy A",,http://localhost/9shop/wp-content/uploads/2025/11/Samsung-Galaxy-A73-5G-Trang.webp,,,,,,,,,0,,Camera,108MP,1,1,Chipset,"Snap 778G",1,1
126,simple,XMI12T-44,,"Xiaomi 12T Pro Đen",1,0,visible,"Camera 200MP, Sạc 120W.","Hiệu năng ổn định, sạc siêu nhanh.",,,taxable,,1,30,,0,0,,,,,1,,,14000000,"Cao cấp, Xiaomi","200MP, Sạc nhanh",,http://localhost/9shop/wp-content/uploads/2025/11/Xiaomi-12T-Pro-Den.webp,,,,,,,,,0,,Camera,200MP,1,1,"Sạc nhanh",120W,1,1
127,simple,OPPORENO8-45,,"OPPO Reno8 T 5G Đen",1,0,visible,"Thiết kế da cam, Camera 108MP.","Điện thoại có phong cách độc đáo.",,,taxable,,1,35,,0,0,,,,,1,,7000000,7500000,"OPPO, Tầm trung","108MP, Reno",,http://localhost/9shop/wp-content/uploads/2025/11/OPPOReno8T5GDen.jpg,,,,,,,,,0,,Camera,108MP,1,1,"Thiết kế","Da cam",1,1
128,simple,OPPOA98-46,,"OPPO A98 5G Xanh",1,0,visible,"Pin 5000mAh, Sạc nhanh 67W.","Điện thoại pin khỏe, sạc nhanh.",,,taxable,,1,40,,0,0,,,,,1,,,6500000,"OPPO, Tầm trung","5G, Pin trâu",,http://localhost/9shop/wp-content/uploads/2025/11/OPPOA985GXanh.webp,,,,,,,,,0,,Pin,5000mAh,1,1,"Sạc nhanh",67W,1,1
129,simple,IP11-47,,"iPhone 11 64GB Trắng",1,0,visible,"Chip A13 Bionic, Camera kép.","Lựa chọn phổ thông, vẫn còn mạnh mẽ.",,,taxable,,1,50,,0,0,,,,,1,,,9000000,"Apple, Phổ thông","A13, iPhone",,http://localhost/9shop/wp-content/uploads/2025/11/iPhone1164GBTrang.webp,,,,,,,,,0,,Chipset,"A13 Bionic",1,1,"Dung lượng",64GB,1,1
130,simple,GGPIXEL7-48,,"Google Pixel 7 128GB Trắng",1,0,visible,"Chip Tensor G2, Camera ấn tượng.","Điện thoại AI của Google, chụp ảnh đẹp.",,,taxable,,1,15,,0,0,,,,,1,,13500000,14000000,"Cao cấp, Google","Google AI, Pixel",,http://localhost/9shop/wp-content/uploads/2025/11/GooglePixel-7128GBTrang.webp,,,,,,,,,0,,Chipset,"Tensor G2",1,1,RAM,8GB,1,1
131,simple,GGPIXEL7-49,,"Google Pixel 7a 128GB Xám",1,0,visible,"Giá phải chăng, Tính năng AI đầy đủ.","Phiên bản rút gọn của Pixel, tối ưu giá thành.",,,taxable,,1,25,,0,0,,,,,1,,,11000000,"Google, Tầm trung","AI, Pixel",,http://localhost/9shop/wp-content/uploads/2025/11/GooglePixel7a128GBXam.webp,,,,,,,,,0,,Chipset,"Tensor G2",1,1,"Màn hình",90Hz,1,1
132,simple,IP15PM-50,,"iPhone 15 Pro Max 1TB Titan Xanh",1,0,visible,"Chip A17 Bionic, Camera 48MP, Khung Titan.","Phiên bản dung lượng lớn nhất.",,,taxable,,1,5,,0,0,,,,,1,,,45000000,"Apple, Flagship","1TB, iPhone, Titan",,http://localhost/9shop/wp-content/uploads/2025/11/iPhone15ProMax1TBTitanXanh.webp,,,,,,,,,0,,Chipset,"A17 Bionic",1,1,"Bộ nhớ",1TB,1,1
